Time,ATR
2024-05-24 17:00:00,193.8342
2024-05-27 13:00:00,188.7389
2024-05-28 17:00:00,186.7575
2024-05-29 17:00:00,188.3999
2024-05-30 17:00:00,193.2642
2024-05-31 17:00:00,209.9596
2024-06-03 17:00:00,217.8017
2024-06-04 17:00:00,219.5302
2024-06-05 17:00:00,232.0102
2024-06-06 17:00:00,223.0987
2024-06-07 17:00:00,222.5203
2024-06-10 17:00:00,217.7331
2024-06-11 17:00:00,220.9664
2024-06-12 17:00:00,232.2367
2024-06-13 17:00:00,229.5412
2024-06-14 17:00:00,227.2883
2024-06-17 17:00:00,237.2855
2024-06-18 17:00:00,230.5866
2024-06-19 13:00:00,218.134
2024-06-20 17:00:00,232.0351
2024-06-21 17:00:00,227.729
2024-06-24 17:00:00,233.052
2024-06-25 17:00:00,234.6375
2024-06-26 17:00:00,229.9848
2024-06-27 17:00:00,230.8788
2024-06-28 17:00:00,240.6017
2024-07-01 17:00:00,242.148
2024-07-02 17:00:00,249.7982
2024-07-03 13:15:00,248.4019
2024-07-04 13:00:00,234.2839
2024-07-05 17:00:00,237.4422
2024-07-08 17:00:00,228.2499
2024-07-09 17:00:00,223.0892
2024-07-10 17:00:00,224.1721
2024-07-11 17:00:00,251.4812
2024-07-12 17:00:00,262.5183
2024-07-15 17:00:00,264.5348
2024-07-16 17:00:00,261.3538
2024-07-17 17:00:00,287.8464
2024-07-18 17:00:00,296.1252
2024-07-19 17:00:00,298.2413
2024-07-22 17:00:00,300.6347
2024-07-23 17:00:00,294.6251
2024-07-24 17:00:00,327.5983
2024-07-25 17:00:00,340.4306
2024-07-26 17:00:00,337.9355
2024-07-29 17:00:00,332.6544
2024-07-30 17:00:00,351.3755
2024-07-31 17:00:00,382.438
2024-08-01 17:00:00,416.7639
2024-08-02 17:00:00,432.5307
2024-08-05 17:00:00,487.725
2024-08-06 17:00:00,489.8339
2024-08-07 17:00:00,506.435
2024-08-08 17:00:00,531.1004
2024-08-09 17:00:00,513.9861
2024-08-12 17:00:00,495.1478
2024-08-13 17:00:00,495.0658
2024-08-14 17:00:00,479.5611
2024-08-15 17:00:00,481.2175
2024-08-16 17:00:00,463.6662
2024-08-19 17:00:00,455.2972
2024-08-20 17:00:00,436.2045
2024-08-21 17:00:00,420.0649
2024-08-22 17:00:00,424.5781
2024-08-23 17:00:00,417.5369
2024-08-26 17:00:00,412.0521
2024-08-27 17:00:00,400.6734
2024-08-28 17:00:00,405.1788
2024-08-29 17:00:00,415.7553
2024-08-30 17:00:00,404.7907
2024-09-02 13:00:00,387.2521
2024-09-03 17:00:00,414.7341
2024-09-04 17:00:00,405.753
2024-09-05 17:00:00,399.86
2024-09-06 17:00:00,416.4771
2024-09-09 17:00:00,411.6216
2024-09-10 17:00:00,403.3808
2024-09-11 17:00:00,427.8893
2024-09-12 17:00:00,418.6472
2024-09-13 17:00:00,401.5295
2024-09-16 17:00:00,391.0631
2024-09-17 17:00:00,382.8265
2024-09-18 17:00:00,379.9103
2024-09-19 17:00:00,397.1489
2024-09-20 17:00:00,385.0668
2024-09-23 17:00:00,372.4727
2024-09-24 17:00:00,364.564
2024-09-25 17:00:00,353.2916
2024-09-26 17:00:00,353.0564
